date_raw,time_raw,river_level,raw_water_pump_duty,raw_water_flow,raw_water_ntu,raw_water_color,raw_water_ph,filtered_ntu,clear_well_level,treated_ph,treated_ntu,treated_color,chlorine_residual,alum_feed_rate,alum_dosage,treated_water_pump_duty,treated_water_flow,tank_18ml_level,tank_18ml_flow,remarks,source_file,source_sheet,available_time_raw,available_river_level,available_raw_water_pump_duty,available_raw_water_flow,available_raw_water_ntu,available_raw_water_color,available_raw_water_ph,available_filtered_ntu,available_clear_well_level,available_treated_ph,available_treated_ntu,available_treated_color,available_chlorine_residual,available_alum_feed_rate,available_alum_dosage,available_treated_water_pump_duty,available_treated_water_flow,available_tank_18ml_level,available_tank_18ml_flow,available_remarks,base_date,timestamp,raw_water_pump_count,treated_water_pump_count,is_backwash_event,is_treated_ntu_exceedance,operating_date,year,month,day,hour,weekday,sampling_gap_hours,missing_river_level,missing_raw_water_flow,missing_raw_water_ntu,missing_raw_water_color,missing_raw_water_ph,missing_filtered_ntu,missing_clear_well_level,missing_treated_ph,missing_treated_ntu,missing_treated_color,missing_chlorine_residual,missing_alum_feed_rate,missing_alum_dosage,missing_treated_water_flow,missing_tank_18ml_level,missing_tank_18ml_flow,outlier_river_level,outlier_raw_water_flow,outlier_raw_water_ntu,outlier_raw_water_color,outlier_raw_water_ph,outlier_filtered_ntu,outlier_clear_well_level,outlier_treated_ph,outlier_treated_ntu,outlier_treated_color,outlier_chlorine_residual,outlier_alum_feed_rate,outlier_alum_dosage,outlier_treated_water_flow,outlier_tank_18ml_level,outlier_tank_18ml_flow,outlier_raw_water_pump_count,outlier_treated_water_pump_count
2025-08-07,09:00,3.46,,54.6,8.0,121.0,,0.09,3.83,,0.19,5.0,,,,,50.2,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 09:00:00,,,False,False,2025-08-07,2025,8,7,9,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,11:00,3.43,,54.8,9.0,126.0,,0.09,3.83,,0.19,5.0,,,,,50.3,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 11:00:00,,,False,False,2025-08-07,2025,8,7,11,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,13:00,3.41,,54.3,9.0,126.0,,0.09,3.83,,0.19,5.0,,,,,50.2,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 13:00:00,,,False,False,2025-08-07,2025,8,7,13,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,15:00,3.41,,54.3,9.0,126.0,,0.09,3.86,,0.19,5.0,,,,,50.2,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 15:00:00,,,False,False,2025-08-07,2025,8,7,15,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,17:00,3.4075,,54.3,10.0,130.0,,0.09,3.79,,0.19,5.0,,,,,50.2,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 17:00:00,,,False,False,2025-08-07,2025,8,7,17,3,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,19:00,3.4050000000000002,,54.3,10.0,130.0,,0.09,3.79,,0.19,5.0,,,,,50.2,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 19:00:00,,,False,False,2025-08-07,2025,8,7,19,3,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,21:00,3.4025,,54.3,9.0,126.0,,0.09,3.79,,0.21,5.0,,,,,50.4,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 21:00:00,,,False,False,2025-08-07,2025,8,7,21,3,2.0,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,23:00,3.4,,54.2,6.0,118.0,,0.09,3.77,,0.24,5.0,,,,,50.4,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-07 23:00:00,,,False,False,2025-08-07,2025,8,7,23,3,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,01:00,3.42,,54.4,6.0,118.0,,0.09,3.74,,0.21,4.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-08 01:00:00,,,False,False,2025-08-07,2025,8,8,1,4,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,03:00,3.86,,54.3,7.0,114.0,,0.09,3.7,,0.24,5.0,,,,,50.4,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-08 03:00:00,,,False,False,2025-08-07,2025,8,8,3,4,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-07,05:00,3.8,,54.2,6.0,118.0,,0.09,3.7,,0.24,5.0,,,,,50.4,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-07,2025-08-08 05:00:00,,,False,False,2025-08-07,2025,8,8,5,4,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,07:00,3.53,,55.0,18.0,178.0,,0.09,3.48,,0.21,5.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 07:00:00,,,False,False,2025-08-08,2025,8,8,7,4,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,09:00,3.53,,55.0,15.0,164.0,,0.09,3.56,,0.2,5.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 09:00:00,,,False,False,2025-08-08,2025,8,8,9,4,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2025-08-08,11:00,3.54,,55.3,15.0,164.0,,0.08,3.5,,0.2,5.0,,,,,50.6,,,,JBALB_Aug2025.xlsx,,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,2025-08-08,2025-08-08 11:00:00,,,False,False,2025-08-08,2025,8,8,11,4,2.0,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
