分层维度,分层,模型,预测步长/小时,RMSE,MAE,R2,样本数
时段,夜间,季节朴素,8,0.8861163705869688,0.26037037037037036,-0.00026683207629241146,540
时段,夜间,机理专家,8,0.9399559747805757,0.3792756825710875,-0.1255100409200285,540
时段,夜间,LightGBM,8,0.9260656816061621,0.3989712158166349,-0.09249115314728229,540
时段,夜间,GRU,8,0.9170946046011403,0.3818934878789716,-0.0714270953849554,540
时段,夜间,MoE,8,0.8945819168171923,0.34255625503261883,-0.019470300469295987,540
时段,夜间,季节朴素,6,0.8861163705869688,0.26037037037037036,-0.00026683207629241146,540
时段,夜间,机理专家,6,0.9399559747805757,0.3792756825710875,-0.1255100409200285,540
时段,夜间,LightGBM,6,0.9145470930352263,0.41353081493056226,-0.06548292794632826,540
时段,夜间,GRU,6,0.9294951926880771,0.39528466628547065,-0.10059780953690911,540
时段,夜间,MoE,6,0.8921020160205471,0.34741359521834936,-0.013825918598945774,540
工作日,工作日,季节朴素,2,0.8413160754755036,0.2563694267515923,0.03351762790179913,942
工作日,工作日,机理专家,2,0.9316028480395299,0.4149064986672465,-0.18505137295992302,942
工作日,工作日,LightGBM,2,0.8624201482925862,0.4127580198576001,-0.0155781557548762,942
工作日,工作日,GRU,2,0.8987392136304344,0.429442044601572,-0.10291728985434223,942
工作日,工作日,MoE,2,0.8451580297611643,0.37130176729900316,0.0246703955547104,942
工作日,工作日,季节朴素,4,0.8413201763097196,0.25640127388535033,0.033189444432495274,942
工作日,工作日,机理专家,4,0.9320240276862464,0.41601392476238214,-0.1865143425763398,942
工作日,工作日,LightGBM,4,0.8749847658202035,0.4173421705819597,-0.04573046011755766,942
工作日,工作日,GRU,4,0.898741716179263,0.4247236085747964,-0.10328719054303437,942
工作日,工作日,MoE,4,0.8557849536299555,0.36560576345890194,-0.000340997190839909,942
工作日,工作日,季节朴素,6,0.841321816637809,0.2564437367303609,0.03287944474888438,942
工作日,工作日,机理专家,6,0.9324244153570026,0.41703699333238303,-0.1879101302242827,942
工作日,工作日,LightGBM,6,0.894848931389967,0.43903828374513243,-0.09409682991341395,942
工作日,工作日,GRU,6,0.9121407509390927,0.42350665601765275,-0.13678943731388316,942
工作日,工作日,MoE,6,0.8759375447109766,0.37848193463942553,-0.04834105833097002,942
工作日,工作日,季节朴素,8,0.8413142458660973,0.256380042462845,0.03264357313729138,942
工作日,工作日,机理专家,8,0.9328071886825301,0.41795506261087606,-0.18919699831731274,942
工作日,工作日,LightGBM,8,0.9086154745746995,0.4280774906552252,-0.1283148230431439,942
工作日,工作日,GRU,8,0.8965862309603442,0.4075754054678474,-0.09863685990438698,942
工作日,工作日,MoE,8,0.8796020500205076,0.3735723050846668,-0.0574077799039685,942
工作日,工作日,季节朴素,10,0.8417171055496894,0.2570063694267516,0.03166339352093284,942
工作日,工作日,机理专家,10,0.9328808615892095,0.41815817872417566,-0.18945060272519143,942
工作日,工作日,LightGBM,10,0.9239969413123329,0.45494651996912083,-0.16690395283177728,942
工作日,工作日,GRU,10,0.9057261467578561,0.42466629003421774,-0.12121230232536373,942
工作日,工作日,MoE,10,0.8873577399783795,0.3826350696944887,-0.07619638130192397,942
工作日,工作日,季节朴素,12,0.8421213482512286,0.2576857749469214,0.03068713941859247,942
工作日,工作日,机理专家,12,0.9329516289150205,0.4183529027481181,-0.18968743640755248,942
工作日,工作日,LightGBM,12,0.8902408134237725,0.44437766960289743,-0.08325230609967504,942
工作日,工作日,GRU,12,0.8853956600754662,0.4025118318389935,-0.07149314866245904,942
工作日,工作日,MoE,12,0.8607542190498303,0.3714725926999327,-0.012681650795065336,942
